;AgrForFish;Manufacturing;ElecGas;Construction;TranspStorage;AccomFood;InfoComm;FinancInsur;RealEstate;ProfScientTechnical;AdmPubDefence;Education;Health;Arts;Water;Trade;Employed
Belgium;43,23;607,25;32,08;321,1;255,15;162,4;158,68;144,98;34,28;259,3;387,23;448,2;700,63;66,93;31,68;619,45;4646,00
Bulgaria;196,8;589,73;38,78;241,5;202,63;164,55;97,7;64,5;12,25;101,9;219,1;177,58;152,38;46,78;30,93;527,15;3055,00
Czechia;142,05;1437,73;51,78;377,68;321,58;181,23;167,25;115,35;42,95;251;333,6;336,55;354,25;91,13;54,58;600,85;5124,00
Denmark;55,13;314,08;12,93;172,3;120;108,88;101,23;75,78;34,63;156,58;141,38;248,98;507,48;63,38;13,8;421,88;2601,00
Germany;474,8;7853,98;318,03;2741,08;2047,05;1521,1;1288,25;1232,25;189,55;2256,98;2856,03;2744,95;5308,05;524,45;243,98;5645,08;39551,00
Estonia;20,18;118,75;5,88;57,48;47,33;27,2;29,23;12,25;8,2;29,58;36,9;55,5;36,48;17,68;4,6;82,55;622,00
Ireland;82,73;244,83;12,53;139,85;94,2;172,38;116,83;94,48;9,2;130,35;103,88;166,93;277,05;52,63;11,53;293,15;2120,00
Greece;437,95;353,5;30,43;150,28;181,93;355,95;96,58;86,95;4,93;211,45;334,7;300,05;237,63;51,93;32,2;677,18;3737,00
Spain;797,93;2430,98;80,15;1213,9;974,38;1692,53;583,28;432,4;143,83;963,38;1335,5;1308,58;1598;383,88;149,48;2969,98;19002,00
France;636,15;3140,38;202,4;1773,3;1407,75;1035,88;817,43;882,83;342,33;1576,78;2420,63;1919,33;3888,98;456,58;217,9;3383,63;26218,00
Croatia;90,75;284,95;14,6;113,88;105,33;118,23;57,18;43,5;7,73;70,4;110,25;129,25;106,35;32,15;31,63;224,35;1610,00
Italy;810,75;4200,65;107,75;1378,25;1115,23;1429,4;594;629,5;140,65;1410,05;1218,1;1540,28;1825,68;296,68;244,58;3190,55;22480,00
Cyprus;6,8;26,88;1,88;33,03;18,6;33,98;11,7;20,88;2,73;30,2;34,23;29,2;19,38;6,43;3,18;71,50;387,00
Latvia;60,9;114,15;12,03;72,53;77,63;31,78;28,55;18,25;17,88;35,18;57,43;75,88;51,4;23,7;7,38;136,55;868,00
Lithuania;92,85;214,23;12,13;99,68;96,63;33,18;31,88;18,9;14,33;59,6;77,2;126,18;88;27,33;15,65;230,78;1313,00
Luxembourg;2,58;11,75;1,7;15,7;10,75;10,15;11,38;29,83;2,4;22,58;27,63;20,45;27,53;3,63;1,93;19,38;275,00
Hungary;210,15;997;38,95;330,63;286,7;181,3;114,3;88,53;23,93;147,75;408,68;343,3;302;77,3;58,05;539,95;4383,00
Malta;2,03;26,8;1,7;15,1;12,88;16,45;9,33;11,55;2,63;12,45;15,8;21,48;22,73;11,4;1,93;31,73;229,00
Netherlands;151,38;796,5;29,55;394,55;384,48;382,78;279,53;250,45;62,15;616,45;492,15;564;1290,65;163,63;29,95;1212,65;7949,00
Austria;140,58;692,63;27,45;340,2;217,13;250,95;131,03;135,33;34,18;251,93;281,03;291,7;453,45;66,45;21,2;614,53;4102,00
Poland;1516,68;3421,78;155,48;1227;1023,95;400,5;405,38;402,58;144,25;574,1;1070,9;1236,33;954,63;228,2;154,9;2253,63;16051,00
Portugal;173,48;819,48;14,53;299,6;201,43;313,43;120,48;110,35;44,5;197,05;318;416,48;437,05;66,05;38,58;669,10;4575,00
Romania;1657,33;1671,73;84,93;675,85;508,58;220,2;184,48;111,63;16,63;216,08;406,2;356,38;411,7;62,93;104,2;1238,53;8294,00
Slovenia;41,93;242,53;8,85;55,83;54,35;43,03;32,6;23,9;4,35;44,6;57,88;83,1;68,68;20;12,73;119,93;950,00
Slovakia;57,35;626,33;30,93;238,38;174,1;109,38;67,13;50,55;15,28;77,43;226,63;182,55;196,5;35,6;24,28;308,78;2519,00
Finland;81,6;330,23;12,68;192,65;137,7;84,55;113,78;49,6;24,43;168,78;115,03;181,28;408,85;61,65;11,03;285,78;2392,00
Sweden;72,73;498;27,43;338,08;235,45;170,5;234,78;95;68,13;419,78;353,75;560,15;729,7;129,3;24,5;557,83;4770,00
Iceland;7,35;17,33;1,65;11,35;13,15;10,9;9,1;5,95;1,3;13,03;9,8;23,23;20,95;6,45;1,2;23,33;176,00
Norway;50,53;201,33;17,65;213,88;122,7;89,7;100,2;53,25;25,18;148,65;168,23;213,58;527,7;57,7;12,85;342,83;2489,00
Switzerland;116,9;568,18;26,25;302,38;206,75;186,98;158,05;235,65;47,15;396,13;208,2;329,33;635,4;73;13,8;538,23;4276,00
United Kingdom;282,5;2797,3;203,13;2251,03;1540,55;1692,35;1274,2;1298,98;340,08;2283,45;2051,65;3150,3;4132,43;812,43;246,2;4007,65;30098,00
Montenegro;16,38;14,33;2,55;21,2;12,6;18,8;4,95;3,9;3,4;10,2;20,75;14,08;12,18;5,63;4,73;45,40;227,00
North Macedonia;110,35;150,6;10,23;56,25;39,05;30,95;13;8,03;2,1;17,13;52,73;44,4;42,3;12,33;14,03;108,58;743,00
Serbia;372,83;514,78;42,33;122,28;148,53;100,58;71,73;42,25;4,8;98,38;151,78;176,95;154,38;48,28;43,6;370,78;2667,00
Turkey;4736,6;5192,43;121,93;1970,68;218,88;1610,58;229,28;253,75;280,05;893,93;1806,58;1684;1382,73;179,4;166,5;3956,53;26395,00
