Player;Gls;Ast;CrdY;Sh;Touches;Drib;Fls;Off;Crs;TklW;Recov;Pass
Abu Danladi;2;2;3;22;326;9;24;4;18;11;50;143
Albert Rusnák;10;3;2;71;1512;42;13;5;35;11;152;1065
Alberth Elis;9;8;6;77;949;50;44;16;47;13;91;414
Alejandro Bedoya;4;3;6;28;1941;18;41;10;44;44;255;1446
Alejandro Pozuelo;12;7;5;67;2236;69;33;6;74;12;173;1494
Aleksandar Katai;6;6;3;102;1359;83;44;16;89;29;151;744
Alex Roldan;0;0;0;4;210;3;2;0;2;10;32;123
Alexander Ring;4;4;12;46;2336;18;74;0;16;56;378;1681
Alexandru Mitriță;12;2;2;93;1155;67;19;2;35;14;108;594
Allan Cruz;7;0;5;35;742;10;21;7;14;31;121;368
Andre Shinyashiki;7;3;3;53;818;55;29;5;35;35;153;362
Andreas Ivan;1;2;0;20;264;8;10;3;25;8;40;99
Andrés Flores;0;1;0;9;434;5;13;0;3;14;73;306
Andy Polo;0;1;1;15;682;13;10;1;23;10;96;485
Andy Rose;1;1;2;14;1070;4;12;1;4;9;153;733
Aníbal Godoy;0;1;8;5;993;8;38;1;1;26;149;773
Artur;0;0;4;14;1831;26;51;2;14;56;266;1357
Bastian Schweinsteiger;1;3;10;24;2062;19;32;0;7;32;320;1547
Benji Michel;5;1;0;11;345;19;14;4;10;2;60;142
Benny Feilhaber;4;3;6;27;1075;23;37;1;7;21;147;745
Boniek García;0;1;5;15;1650;33;54;1;15;51;269;1204
Brandon Servania;2;1;2;26;732;13;19;0;6;16;99;492
Brandt Bronico;1;2;2;15;1117;19;32;1;24;20;165;754
Brenden Aaronson;3;1;3;35;894;23;18;2;18;24;118;493
Bryan Acosta;2;1;12;51;1887;24;68;0;20;44;230;1409
Caleb Stanko;0;0;3;6;800;6;27;0;5;24;143;587
Carles Gil;10;12;5;61;2489;89;15;3;81;15;307;1606
Carlos Ascues;1;1;2;10;568;20;29;2;3;22;102;337
Carlos Gruezo;1;0;1;7;624;5;18;1;1;14;79;495
Chris Durkin;1;0;1;4;470;5;17;0;4;16;66;298
Chris Mueller;5;3;1;36;914;37;16;1;35;14;104;499
Christian Ramirez;5;1;0;23;252;5;0;2;2;5;22;138
Clement Bayiha;0;1;0;3;254;17;3;1;11;10;39;145
Cole Bassett;2;1;1;13;621;15;9;0;18;13;108;410
Corey Baird;5;3;6;30;922;31;34;13;20;21;138;544
Cristhian Paredes;4;2;2;38;1016;15;35;1;3;21;143;658
Cristian Cásseres Jr.;3;3;5;26;1176;21;59;0;12;44;265;625
Cristian Espinoza;2;10;8;94;1794;82;41;12;159;21;166;1012
Cristian Higuita;0;0;5;6;521;6;19;0;1;21;59;375
Cristian Penilla;6;5;2;58;978;40;21;3;55;20;125;502
Cristian Roldan;6;3;4;33;1954;39;26;1;39;52;345;1390
Dairon Asprilla;2;0;1;19;268;18;14;3;15;6;38;131
Damir Kreilach;6;4;6;55;1838;17;37;11;21;23;193;1225
Dániel Sallói;1;1;1;47;675;11;19;4;17;9;70;359
Danny Hoesen;5;3;1;62;569;16;18;17;19;9;58;272
Danny Wilson;2;1;4;13;642;11;24;2;1;23;140;372
Darlington Nagbe;2;4;2;21;1965;48;22;0;4;30;300;1616
Darwin Cerén;1;0;1;4;385;9;11;0;1;19;62;281
Darwin Quintero;10;5;5;72;1330;76;27;10;36;26;168;619
David Accam;2;1;1;15;260;26;22;4;12;12;41;116
David Guzmán;0;0;6;17;853;8;29;0;7;26;106;583
Dax McCarty;1;2;4;21;2216;24;40;1;7;29;399;1694
DeJuan Jones;1;0;0;14;720;19;10;2;29;21;120;417
Derrick Etienne;1;1;0;10;242;7;4;1;16;5;33;121
Diego Chará;0;1;12;7;2052;32;71;1;6;58;329;1594
Diego Fagúndez;2;3;2;20;661;11;14;3;20;5;92;444
Diego Rubio;11;4;10;48;1013;40;42;6;34;25;133;510
Diego Valeri;8;8;4;79;1931;45;31;12;90;26;186;1167
Dillon Serna;0;0;0;8;369;5;11;1;27;8;60;223
Djordje Mihailovic;3;1;4;22;926;20;24;0;36;10;125;617
Ebenezer Ofori;2;0;2;8;822;31;20;0;1;30;162;622
Eduard Atuesta;3;8;8;39;2762;76;45;0;13;55;355;2066
Edwin Cerrillo;0;0;2;5;675;5;23;0;4;11;97;535
Efrain Alvarez;0;3;2;11;333;11;5;0;19;6;34;197
Emerson Hyndman;1;1;1;15;523;11;8;2;12;6;72;372
Emmanuel Boateng;1;0;1;12;383;8;8;4;27;12;51;201
Emmanuel Ledesma;6;4;4;44;942;25;30;4;51;21;129;438
Eric Remedi;0;1;6;11;1482;25;31;0;3;32;211;1138
Ethan Finlay;7;2;3;34;673;22;19;7;48;17;123;302
Everton Luiz;0;2;8;9;1162;35;45;2;5;39;211;794
Ezequiel Barco;4;2;1;32;627;16;4;1;16;5;61;388
Fabian Herbers;3;1;3;18;442;6;21;0;17;14;54;281
Fabio Álvarez;3;4;5;33;831;17;17;3;7;21;109;555
Fatai Alashe;1;0;2;8;195;2;8;0;0;4;25;113
Federico Higuaín;1;3;2;19;925;29;7;4;17;6;87;644
Felipe;1;0;6;13;1310;11;36;1;12;26;172;930
Felipe Gutiérrez;12;1;11;58;1981;30;70;0;32;70;260;1348
Frankie Amaya;0;0;2;16;730;11;16;1;12;33;85;486
Fredy Montero;8;2;1;58;982;33;39;6;40;23;115;460
Gary Mackay-Steven;1;1;0;17;262;4;3;1;16;12;30;137
Gedion Zelalem;0;0;1;3;261;3;8;0;4;4;20;208
Gerso Fernandes;2;6;5;41;745;41;39;7;49;22;119;324
Gianluca Busio;3;1;1;26;541;8;12;0;3;18;69;337
Gonzalo Nicolás Martínez;5;7;2;79;1612;70;25;5;66;26;143;848
Gustav Svensson;0;0;1;19;1399;8;27;0;0;33;215;1027
Gustavo Bou;9;1;1;59;651;38;10;11;25;9;60;310
Handwalla Bwana;1;1;1;9;288;18;5;3;12;9;32;141
Haris Medunjanin;1;4;6;34;2911;37;36;0;46;35;408;2228
Harold Santiago Mosquera;3;1;0;35;712;35;13;4;35;20;66;384
Harry Shipp;5;1;1;32;875;16;10;2;15;11;129;610
Hassani Dotson;4;0;2;14;886;14;18;0;22;28;164;511
